Operation,Cost,Imputation,Region,Division,Sub-Division,Accounting Sta.,Locality,Management m.,,Vote holder
BL Tignère : Construction des latrines(du Projet N° 2-30-02-222-231),2473,25310102243,,FARO ET DEO,TIGNERE,RECET FINA TIGNERE,TIGNERE,,,Chef BL
BL Tignère : Construction puits d'eau(du Projet N° 2-30-02-222-231),4500,025310102246,,FARO ET DEO,TIGNERE,RECET FINA TIGNERE,TIGNERE,,,Chef BL
NGAOUNDERE: Réfection résidence du A2(du Projet N° 2-30-02-222-019),4000,074310252238,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE,,,Préfet
Sous-prefecture BANKIM: Construction(du Projet N° 2-30-02-222-019),80000,074710022220,,MAYO BANYO,BANKIM,PAIERIE GENERALE,BANKIM,,,Ministre
BANYO : Réfection résidence du Sous-Préfet(du Projet N° 2-30-02-222-019),4950,074710042230,,MAYO BANYO,BANYO,RECET FINA BANYO,BANYO,,,Sous-Préfet
KONTCHA: Construction résidence du sous-prefet(du Projet N° 2-30-02-222-019),70000,074710262228,,FARO ET DEO,Sous préfecture KONTCHA,PAIERIE GENERALE,KONTCHA,,,Ministre
Prison de Banyo : refection bloc administratif(du Projet N° 3-56-01-222-082),7900,085110042220,,MAYO BANYO,BANYO,RECET FINA BANYO,BANYO,,,REGISSEUR
Prison de Meiganga : achat moulins à céréales(du Projet N° 3-56-01-227-083),1500,085110182279,,MBERE,MEIGANGA,RECET FINA MEIGANGA,MEIGANGA,,,REGISSEUR
Prison de Tignère : achat moulins à céréales(du Projet N° 3-56-01-227-083),1500,0851102622791,,FARO ET DEO,TIGNERE,RECET FINA TIGNERE,TIGNERE,,,REGISSEUR
Tribunal de Tibati : amenagement(du Projet N° 2-30-01-222-802),7073,085310052220,,DJEREM,TIBATI,RECET FINA TIBATI,Tibati,,,PR
Palais de Justice de Tibati : Procédure d'immatriculation(du Projet N° 3-56-01-207-207),300,0856102422011,,DJEREM,TIBATI,RECET FINA TIBATI,Tibati,,,Procureur de la République
Palais de Justice de Banyo : Procédure d'immatriculation(du Projet N° 3-56-01-207-207),82,085710042201,,MAYO BANYO,BANYO,RECET FINA BANYO,BANYO,,,Procureur de la République
Palais de Justice de Meiganga : Procédure d'immatriculation(du Projet N° 3-56-01-207-207),2635,085710182201,,MBERE,MEIGANGA,RECET FINA MEIGANGA,MEIGANGA,,,Procureur de la République
Palais de Justice de Tignère : Procédure d'immatriculation(du Projet N° 3-56-01-207-207),367,085710262201,,FARO ET DEO,TIGNERE,RECET FINA TIGNERE,TIGNERE,,,Procureur de la République
Ciat sécurité publique de Bankim : Construction (phase 1)(du Projet N° 2-30-02-222-120),43200,125510042220,,MAYO BANYO,BANKIM,PAIERIE GENERALE,BANKIM,,,DGSN
Construction Ciat Spécial et Poste de SP de Belel (phase 2 et finale)(du Projet N° 2-30-02-222-120),40000,125510062220,,VINA,BELEL,PAIERIE GENERALE,BELEL,,,DGSN
Construction Ciat Spécial de Mayo-Banyo(du Projet N° 2-30-02-222-120),51391,1256100422201,,MAYO BANYO,BANYO,PAIERIE GENERALE,BANYO,,,DGSN
Travaux des réfection Ciat Spécial Mayo-Darle(du Projet N° 2-30-02-222-120),9800,1256100422202,,MAYO BANYO,Sous préfecture MAYO-DARLE,PERCEPTION MAYO DARLE,MAYO - DARLE,,,DRSN
Centre de secours de Ngaoundéré : Achèvement construction(GROUPE TECHNICAM)(du Projet N° 2-07-02-278-888),50000,134410102220,,VINA,NGAOUNDERE (MBIDENG),PAIERIE GENERALE,NGAOUNDERE (V),,,MINDEF
SMT N°5 : Réhabilitation du logement du COM secteur(du Projet N° 2-07-02-278-888),15000,134410102225,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE (V),,,COM SMT N°5
SMT N°5 : Réhabilitation du bâtiment abritant le PC(du Projet N° 2-07-02-278-888),15000,134410102230,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE (V),,,COMSMT5
31° BCS : Réhabilitation du batiment(du Projet N° 2-05-03-205-654),15000,1352102222202,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE (V),,,COM 31° BCS
51° BIM: Achèvement construction Hangar Silo (ETS NEMA)(du Projet N° 2-05-03-205-654),13546,1352102222261,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE (V),,,COM 51° BIM
IDOOL : Construction du poste de Gendarmerie(du Projet N° 2-05-03-205-654),50000,1355100622201,,VINA,BELEL,PAIERIE GENERALE,Idool,,,MINDEF
