"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
648,40,"CMR","Cameroon",1,"Adamaoua","","Adamoua|Adamaua|Adamawa","Province","Province"
649,40,"CMR","Cameroon",2,"Centre","","Central","Province","Province"
650,40,"CMR","Cameroon",3,"Est","","East","Province","Province"
651,40,"CMR","Cameroon",4,"Extrême-Nord","","Extreme-North","Province","Province"
652,40,"CMR","Cameroon",5,"Littoral","","Litoral","Province","Province"
653,40,"CMR","Cameroon",6,"Nord-Ouest","","North-West","Province","Province"
654,40,"CMR","Cameroon",7,"Nord","","North","Province","Province"
655,40,"CMR","Cameroon",8,"Ouest","","West","Province","Province"
656,40,"CMR","Cameroon",9,"Sud-Ouest","","South-West","Province","Province"
657,40,"CMR","Cameroon",10,"Sud","","South","Province","Province"
