"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
11278,40,"CMR","Cameroon",1,"Adamaoua",1,"Djerem","","Jerem","Département","Department"
11279,40,"CMR","Cameroon",1,"Adamaoua",2,"Faro-Deo","","Faro et Déo","Département","Department"
11280,40,"CMR","Cameroon",1,"Adamaoua",3,"Mayo-Banyo","","Maya Banyo","Département","Department"
11281,40,"CMR","Cameroon",1,"Adamaoua",4,"Mbéré","","","Département","Department"
11282,40,"CMR","Cameroon",1,"Adamaoua",5,"Vina","","","Département","Department"
11283,40,"CMR","Cameroon",2,"Centre",6,"Haute-Sanaga","","Upper Sanaga","Département","Department"
11284,40,"CMR","Cameroon",2,"Centre",7,"Lekié","","Lekie","Département","Department"
11285,40,"CMR","Cameroon",2,"Centre",8,"Mbam-et-Inoubou","","","Département","Department"
11286,40,"CMR","Cameroon",2,"Centre",9,"Mbam-et-Kim","","","Département","Department"
11287,40,"CMR","Cameroon",2,"Centre",10,"Mefou-et-Afamba","","","Département","Department"
11288,40,"CMR","Cameroon",2,"Centre",11,"Mefou-et-Akono","","","Département","Department"
11289,40,"CMR","Cameroon",2,"Centre",12,"Mfoundi","","Yaounde|Mfundi","Département","Department"
11290,40,"CMR","Cameroon",2,"Centre",13,"Nyong-et-Mfoumou","","Myong and Mfoumou|Nyong et Mfoumo|Nyong-et-Mfumu|Nyong and Mfoumo|Nyong-and-Mfumu|Nyong-and-Mfoumou","Département","Department"
11291,40,"CMR","Cameroon",2,"Centre",14,"Nyong-et-Soo","","Nyong-et-So|Myong and So'o|Nyong et So'o","Département","Department"
11292,40,"CMR","Cameroon",2,"Centre",15,"Nyong et Kéllé","","Nyong-et-Kelle","Département","Department"
11293,40,"CMR","Cameroon",3,"Est",16,"Boumba-et-Ngoko","","Boumba-Nkogo|Bumba-Nkogo|Boumba-and-Ngoko","Département","Department"
11294,40,"CMR","Cameroon",3,"Est",17,"Haut-Nyong","","Upper Nyong","Département","Department"
11295,40,"CMR","Cameroon",3,"Est",18,"Kadey","","","Département","Department"
11296,40,"CMR","Cameroon",3,"Est",19,"Lom-et-Djerem","","Lom-et-Jerem|Lom-and-Jerem|Lom-and-Djerem","Département","Department"
11297,40,"CMR","Cameroon",4,"Extrême-Nord",20,"Diamaré","","Diamare","Département","Department"
11298,40,"CMR","Cameroon",4,"Extrême-Nord",21,"Logone-et-Chari","","Logone-and-Chari","Département","Department"
11299,40,"CMR","Cameroon",4,"Extrême-Nord",22,"Mayo-Danay","","Mayo-Danai","Département","Department"
11300,40,"CMR","Cameroon",4,"Extrême-Nord",23,"Mayo-Kani","","Kaele","Département","Department"
11301,40,"CMR","Cameroon",4,"Extrême-Nord",24,"Mayo-Sava","","","Département","Department"
11302,40,"CMR","Cameroon",4,"Extrême-Nord",25,"Mayo-Tsanaga","","Maya Tsanaga|Mayo Sanaga|Mayo-Tsanga","Département","Department"
11303,40,"CMR","Cameroon",5,"Littoral",26,"Moungo","","Mungo","Département","Department"
11304,40,"CMR","Cameroon",5,"Littoral",27,"Nkam","","","Département","Department"
11305,40,"CMR","Cameroon",5,"Littoral",28,"Sanaga-Maritime","","","Département","Department"
11306,40,"CMR","Cameroon",5,"Littoral",29,"Wouri","","Wuri","Département","Department"
11307,40,"CMR","Cameroon",6,"Nord-Ouest",30,"Boyo","","","Département","Department"
11308,40,"CMR","Cameroon",6,"Nord-Ouest",31,"Bui","","Mbui","Département","Department"
11309,40,"CMR","Cameroon",6,"Nord-Ouest",32,"Donga-Mantung","","Ndonga Mantung|Ndonga Mentum|Nkambe","Département","Department"
11310,40,"CMR","Cameroon",6,"Nord-Ouest",33,"Menchum","","Mentchum|Mentum","Département","Department"
11311,40,"CMR","Cameroon",6,"Nord-Ouest",34,"Mezam","","","Département","Department"
11312,40,"CMR","Cameroon",6,"Nord-Ouest",35,"Momo","","","Département","Department"
11313,40,"CMR","Cameroon",6,"Nord-Ouest",36,"Ngo-Ketunjia","","","Département","Department"
11314,40,"CMR","Cameroon",7,"Nord",37,"Bénoué","","Benoue","Département","Department"
11315,40,"CMR","Cameroon",7,"Nord",38,"Faro","","","Département","Department"
11316,40,"CMR","Cameroon",7,"Nord",39,"Mayo-Louti","","Mayo-Luti","Département","Department"
11317,40,"CMR","Cameroon",7,"Nord",40,"Mayo-Rey","","","Département","Department"
11318,40,"CMR","Cameroon",8,"Ouest",41,"Bamboutos","","","Département","Department"
11319,40,"CMR","Cameroon",8,"Ouest",42,"Haut-Nkam","","Upper Nkam","Département","Department"
11320,40,"CMR","Cameroon",8,"Ouest",43,"Hauts-Plateaux","","","Département","Department"
11321,40,"CMR","Cameroon",8,"Ouest",44,"Koung-Khi","","","Département","Department"
11322,40,"CMR","Cameroon",8,"Ouest",45,"Menoua","","Menua","Département","Department"
11323,40,"CMR","Cameroon",8,"Ouest",46,"Mifi","","","Département","Department"
11324,40,"CMR","Cameroon",8,"Ouest",47,"Ndé","","Nde","Département","Department"
11325,40,"CMR","Cameroon",8,"Ouest",48,"Noun","","Bamoun|Nun","Département","Department"
11326,40,"CMR","Cameroon",9,"Sud-Ouest",49,"Fako","","","Département","Department"
11327,40,"CMR","Cameroon",9,"Sud-Ouest",50,"Koupé-Manengouba","","Kupe-Manenguba","Département","Department"
11328,40,"CMR","Cameroon",9,"Sud-Ouest",51,"Lebialem","","","Département","Department"
11329,40,"CMR","Cameroon",9,"Sud-Ouest",52,"Manyu","","","Département","Department"
11330,40,"CMR","Cameroon",9,"Sud-Ouest",53,"Meme","","","Département","Department"
11331,40,"CMR","Cameroon",9,"Sud-Ouest",54,"Ndian","","Indian|Ndan|Ndiang","Département","Department"
11332,40,"CMR","Cameroon",10,"Sud",55,"Dja-et-Lobo","","Ja-et-Lobo|Ja-and-Lobo|Dja-and-Lobo","Département","Department"
11333,40,"CMR","Cameroon",10,"Sud",56,"Mvila","","","Département","Department"
11334,40,"CMR","Cameroon",10,"Sud",57,"Océan","","Ocean","Département","Department"
11335,40,"CMR","Cameroon",10,"Sud",58,"Vallée-du-Ntem","","Vallee-du-Ntem","Département","Department"
