Place,Question,Comments,Answer ,Points earned,Possible points,Weight,Max possible
N'oundere III '10,1,"Documents du budget disponibles.Pour chaque type de document (1-5), choisissez la réponse adéquate (I, II, II or IV). Choisissez seulement une réponse par document en cochant la case qui correspond à la réponse. ",,,,,
,,Type de document,I. Non produit,II. Produit mais non disponible au public,"III. Produit et disponible au public, mais seulement sur demande",IV. Produit et distribué au public,
,,1.  Budget adopté ,,,1,,
,,2.  Résumé du Budget ,,1,,,
,,3.  Rapport en Milieu d’année,,,,1,
,,4.  Rapport de fin d’année ,,,,,
,,5.  Rapport d’audit ,,,,,
,2,"Pour les rapports de budget qui sont produits et diffusés au public, quelles mesures sont prises pour diffuser ces rapports et pour favoriser l'intérêt du public? Pour chaque rapport produit, répondez  aux questions 1-7 et marquez les cases des colonnes I.-V. « Oui » ou « Non ».",,,,,
,,,I. Budget adopté,II. Résumé du Budget,III. Rapport en Milieu d’année,IV. Rapport de fin d’année,V. Rapport d’audit
,,1. Est-ce que la date de sortie est connue au moins un mois à l'avance ?,1,,,,
,,2. Est-ce que un préavis de la présentation est envoyés aux utilisateurs/ médias ?,1,,,,
,,3.  Est-ce que le document est présenté au public le même jour que la présentation officielle aux médias?,1,,,,
,,4.  Est-ce que le document est disponible sur Internet gratuitement?,0,,,,
,,5.  Est –ce que des copies imprimées sont disponibles gratuitement ?,1,,,,
,,6.  Est-ce que une conférence de presse est tenue pour discuter de la parution du document?,0,,,,
,,7.   Est-ce que le document est diffusé par des conseillers municipaux?,1,,,,
,3,Quel est le taux des revenus réalisés par rapport aux revenus estimés pendant le dernier exercice? Veuillez se référer aux comptes administratifs de l'année dernière pour répondre à cette question.,,,,,
,,a.     Moins de 25% ,,0,0,0,0
,,b.     Entre 25-50% ,,0,0,0,0
,,c.     Entre 50-75% ,1,0,0,0,4
,,d.     Entre 75% –100% ,,0,1,0,0
,,e.     Plus de 100% ,,0,2,0,0
,,Autre (svp produire un commentaire). Commentaire :,,,,,
,4,Quel est le taux des dépenses réalisés par rapport aux dépenses estimés pendant le dernier exercice? Veuillez se référer aux comptes administratifs de l'année dernière pour répondre à cette question.,,,,,
